,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
242,Berlin,695.0,81.0,2.0,Berlin,1100.0,,2.0
243,Berlin,715.0,83.0,2.0,Berlin,1000.0,,
244,Berlin,440.0,40.0,1.0,Berlin,1700.0,,2.0
245,Berlin,570.0,67.0,2.0,Berlin,1300.0,,3.0
246,Berlin,1600.0,130.0,4.0,Berlin,2000.0,,4.0
247,Berlin,620.0,119.0,4.0,Berlin,1200.0,,3.0
248,Berlin,402.0,65.0,2.0,Berlin,1300.0,,3.0
249,Berlin,763.0,81.0,,Berlin,1600.0,,4.0
250,Berlin,1730.0,100.0,,Berlin,1500.0,,1.0
251,Berlin,1400.0,97.0,,Berlin,900.0,,
252,Berlin,708.0,56.0,2.0,Berlin,2000.0,,
253,Berlin,678.0,73.0,2.0,Berlin,700.0,,2.0
254,Berlin,600.0,60.0,2.0,Berlin,800.0,,
255,Berlin,1050.0,133.0,3.0,Berlin,1000.0,,2.0
256,Berlin,1250.0,94.0,3.0,Berlin,900.0,,2.0
257,Berlin,610.0,80.0,2.0,Berlin,1400.0,,
258,Berlin,392.0,66.0,,Berlin,1100.0,,
259,Berlin,800.0,70.0,2.0,Berlin,1300.0,,3.0
260,Berlin,260.0,39.0,1.0,Berlin,450.0,,2.0
261,Berlin,436.0,75.0,,Berlin,1200.0,,
262,Berlin,950.0,73.0,3.0,Berlin,1600.0,,
263,Berlin,650.0,60.0,2.0,Berlin,1200.0,,3.0
264,Berlin,550.0,86.0,3.0,Berlin,1200.0,,
265,Berlin,790.0,60.0,2.0,Berlin,1250.0,,
266,Berlin,595.0,65.0,2.0,Berlin,1200.0,,
267,Berlin,1.0,58.0,3.0,Berlin,2500.0,,6.0
268,Berlin,400.0,50.0,2.0,Berlin,900.0,,3.0
269,Berlin,580.0,60.0,2.0,Berlin,1500.0,,3.0
270,Berlin,1300.0,90.0,3.0,Berlin,1000.0,,2.0
271,Berlin,507.0,62.0,2.0,Berlin,2000.0,,3.0
272,Berlin,1200.0,80.0,3.0,Berlin,1400.0,,4.0
273,Berlin,900.0,77.0,3.0,Berlin,1100.0,,
274,Berlin,1560.0,102.0,,Berlin,1700.0,,4.0
275,Berlin,720.0,77.0,2.0,Berlin,1000.0,,
276,Berlin,386.0,55.0,2.0,Berlin,1200.0,,3.0
277,Berlin,520.0,53.0,2.0,Berlin,1300.0,,3.0
278,Berlin,550.0,42.0,,Berlin,1200.0,,2.0
279,Berlin,1580.0,70.0,2.0,München,2000.0,,1.0
280,Berlin,1610.0,105.0,3.0,Berlin,1000.0,,1.0
281,Berlin,346.0,55.0,2.0,Berlin,1000.0,,3.0
282,Berlin,1305.0,119.0,,Berlin,800.0,,2.0
283,Berlin,750.0,55.0,2.0,Berlin,800.0,,
284,Berlin,400.0,58.0,2.0,Berlin,500.0,,
285,Berlin,549.0,60.0,2.0,Berlin,2000.0,,2.0
286,Berlin,550.0,86.0,4.0,Berlin,1500.0,,
287,Berlin,570.0,56.0,2.0,Berlin,800.0,,1.0
288,Berlin,1300.0,93.0,2.0,Berlin,2000.0,,
289,Berlin,450.0,66.0,2.0,Berlin,800.0,,3.0
290,Berlin,950.0,90.0,4.0,Berlin,1500.0,,
291,Berlin,633.0,75.0,2.0,Berlin,1200.0,,2.0
292,Berlin,970.0,65.0,2.0,Berlin,1800.0,,
293,Berlin,580.0,67.0,3.0,Berlin,1200.0,,3.0
294,Berlin,500.0,71.0,2.0,Berlin,1300.0,,3.0
295,Berlin,600.0,52.0,2.0,Berlin,500.0,,1.0
296,Berlin,1200.0,64.0,2.0,Berlin,1900.0,,3.0
297,Berlin,700.0,68.0,2.0,Berlin,900.0,,
298,Berlin,1000.0,80.0,3.0,Berlin,2000.0,,4.0
299,Berlin,1400.0,105.0,3.0,Berlin,800.0,,2.0
300,Berlin,390.0,45.0,1.0,Berlin,1500.0,,3.0
301,Berlin,800.0,69.0,2.0,Berlin,1200.0,,
302,Berlin,550.0,80.0,4.0,Berlin,1500.0,,
303,Berlin,775.0,85.0,3.0,Berlin,1700.0,,3.0
304,Berlin,865.0,122.0,3.0,Berlin,1800.0,,5.0
305,Berlin,1000.0,100.0,,Berlin,2000.0,,4.0
306,Berlin,1100.0,94.0,4.0,Berlin,1400.0,,2.0
