,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
174,Berlin,480 €,60 m²,2,Berlin,1.800 €,90 m²,3
175,Berlin,533 €,66 m²,"2,5",Berlin,1.600 €,75 m²,"2,5"
176,Berlin,700 €,60 m²,2,Berlin,1.200 €,80 m²,3
177,Berlin,1124 €,75 m²,3,Berlin,2.100 €,95 m²,4
178,Berlin,540 €,56 m²,2,Berlin,1.300 €,80 m²,3
179,Berlin,950 €,80 m²,3,Berlin,1.600 €,90 m²,4
180,Berlin,1170 €,75 m²,"2,5",Berlin,1.500 €,80 m²,3
181,Berlin,439 €,55 m²,2,Berlin,800 €,67 m²,"2,5"
182,Berlin,1299 €,130 m²,4,Berlin,850 €,45 m²,"1,5"
183,Berlin,926 €,78 m²,3,Freiburg im Breisgau,2.000 €,60 m²,2
184,Berlin,415 €,55 m²,2,Berlin,1.500 €,80 m²,3
185,Berlin,600 €,47 m²,2,Berlin,550 €,15 m²,600 € | 2 Zi. | 50 m²
186,Berlin,666 €,53 m²,"1,5",Berlin,1.000 €,45 m²,"1,5"
187,Berlin,500 €,70 m²,"3,5",Berlin,1.000 €,60 m²,2
188,Berlin,379 €,63 m²,2,Berlin,1.000 €,65 m²,"3,5"
189,Berlin,900 €,105 m²,3,Berlin,2.000 €,90 m²,3
190,Berlin,570 €,45 m²,1,Berlin,900 €,50 m²,"1,5"
191,Berlin,602 €,52 m²,2,Berlin,1.200 €,70 m²,3
192,Berlin,1309 €,138 m²,3,Berlin,1.200 €,90 m²,3
193,Berlin,1600 €,116 m²,4,Berlin,1.200 €,60 m²,2
194,Berlin,496 €,52 m²,2,Berlin,1.400 €,60 m²,"2,5"
195,Berlin,542 €,60 m²,2,Berlin,1.100 €,70 m²,3
196,Berlin,980 €,65 m²,3,Berlin,1.000 €,35 m²,1
197,Berlin,1890 €,118 m²,4,Berlin,1.500 €,60 m²,3
198,Berlin,1535 €,140 m²,"4,5",Berlin,1.000 €,50 m²,"2,5"
199,Berlin,1062 €,90 m²,3,Berlin,1.000 €,50 m²,2
200,Berlin,705 €,34 m²,1,Berlin,2.000 €,70 m²,2
201,Berlin,800 €,73 m²,3,Berlin,1.250 €,80 m²,"2,5"
202,Berlin,650 €,76 m²,2,Berlin,1.200 €,80 m²,3
203,Berlin,714 €,66 m²,2,Berlin,1.000 €,65 m²,2
204,Berlin,637 €,88 m²,"4,5",Berlin,1.000 €,75 m²,3
205,Berlin,560 €,69 m²,3,Berlin,800 €,80 m²,"3,5"
